genre,total_view,number,view_work
Drama,204430242,4232,48305.82277882798
Comedy,172059966,3600,47794.435
Action,120817453,1975,61173.39392405063
Thriller,111827164,1992,56138.13453815261
Adventure,90367751,1117,80902.19427036705
Crime,77032116,1376,55982.642441860466
Science Fiction,75110536,920,81641.88695652173
Romance,73303491,1883,38929.09771640998
Horror,73259147,1483,49399.28995279838
Fantasy,56237036,706,79655.85835694052
Mystery,41088496,736,55826.760869565216
Family,41002768,746,54963.49597855228
War,18272451,355,51471.692957746476
Animation,17514751,259,67624.52123552124
History,17251597,323,53410.517027863774
Music,13538470,355,38136.535211267605
Western,11091455,435,25497.597701149425
TV Movie,3129456,99,31610.666666666668
Documentary,915310,58,15781.206896551725
